Wavelength (nm),n,k
350.3858337,2.666756392,0.0587872863
350.7430725,2.662424326,0.0598817617
351.1003113,2.658094168,0.0609777942
351.45755,2.654047251,0.0618033744
351.8148193,2.65215373,0.0605468936
352.1720581,2.650263309,0.0592911691
352.5292969,2.648376465,0.058036387
352.8865356,2.646492481,0.0567822419
353.2437744,2.643736124,0.0551517084
353.6010437,2.640858412,0.0534669757
353.9582825,2.637985229,0.0517823361
354.3155212,2.635115623,0.0500975326
354.67276,2.632288218,0.04850417
355.0299988,2.629490137,0.0469723605
355.3872681,2.626695156,0.0454400145
355.7445068,2.623904228,0.0439078696
356.1017456,2.621050835,0.0424630866
356.4589844,2.618035078,0.0412380584
356.8162231,2.615022659,0.0400127173
357.1734924,2.612012625,0.0387868509
357.5307312,2.609006405,0.0375608988
357.88797,2.606230259,0.036589656
358.2452087,2.603473186,0.0356364809
358.6024475,2.600719213,0.0346832685
358.9597168,2.597967625,0.0337298401
359.3169556,2.595244884,0.0328880362
359.6741943,2.592546701,0.0321399942
360.0314331,2.589851379,0.0313919187
360.3886719,2.58715868,0.0306438133
360.7459412,2.584496737,0.0299114026
361.1031799,2.582057953,0.0293016508
361.4604187,2.579621792,0.0286919549
361.8176575,2.577188253,0.0280823149
362.1748962,2.574757814,0.0274727717
362.5321655,2.572394848,0.0269234553
362.8894043,2.570070982,0.0264071282
363.2466431,2.5677495,0.0258908998
363.6038818,2.56543088,0.0253748056
363.9611206,2.563140631,0.0248673447
364.3183899,2.561011791,0.0244125743
364.6756287,2.558885813,0.0239580739
365.0328674,2.556762457,0.0235036947
365.3901062,2.554641724,0.0230494775
365.747345,2.552550316,0.0226210374
366.1046143,2.550478935,0.0222103056
366.461853,2.548410416,0.0217997506
366.8190918,2.54634428,0.0213893578
367.1763306,2.544281483,0.0209792741
367.5335693,2.542351961,0.0206000377
367.8908386,2.540425062,0.0202209633
368.2480774,2.538500786,0.0198420957
368.6053162,2.536578655,0.0194634013
368.9625549,2.534683228,0.0190941226
369.3197937,2.532829762,0.0187404249
369.677063,2.53097868,0.0183868501
370.0343018,2.52913022,0.018033497
370.3915405,2.527283907,0.0176803544
370.7487793,2.525506735,0.0173418224
371.1060181,2.523759842,0.0170096122
371.4632874,2.522014618,0.0166775007
371.8205261,2.520272255,0.0163456295
372.1777649,2.518532038,0.0160139855
372.5350037,2.516829252,0.0157011859
372.8922424,2.515128851,0.0153887607
373.2495117,2.513430357,0.0150764911
373.6067505,2.511734247,0.0147644375
373.9639893,2.510056973,0.0144566689
374.321228,2.508435488,0.0141625814
374.6784668,2.506816149,0.0138686923
375.0357361,2.505198479,0.0135749299
375.3929749,2.50358367,0.0132814404
375.7502136,2.501987457,0.0129955504
376.1074524,2.500416517,0.0127197364
376.4646912,2.498847008,0.012444078
376.8219604,2.497279644,0.0121685714
377.1791992,2.495714426,0.0118932808
377.536438,2.49418211,0.0116282096
377.8936768,2.492673874,0.0113704354
378.2509155,2.491167307,0.0111128064
378.6081848,2.489662647,0.010855333
378.9654236,2.488160372,0.0105980774
379.3226624,2.48667264,0.0103531042
379.6799011,2.485192537,0.0101135951
380.0371399,2.483714342,0.0098742284
380.3944092,2.482238054,0.0096350154
380.7516479,2.480763912,0.0093960147
381.1088867,2.479323626,0.009170468
381.4661255,2.477895498,0.008949291
381.8233643,2.47646904,0.0087282751
382.1806335,2.475044489,0.0085073784
382.5378723,2.473622084,0.0082866894
382.8951111,2.472227097,0.0080800252
383.2523499,2.470840931,0.0078774681
383.6095886,2.469456911,0.0076750526
