Wavelength (nm),n,k
1346.9999,1.8835938,-1.84E-011
1350.4264,1.8835359,-2.41E-011
1353.853,1.8834784,2.40E-011
1357.2799,1.8834214,-2.38E-011
1360.7068,1.8833648,2.34E-013
1364.134,1.8833088,-2.17E-013
1367.5613,1.8832531,2.41E-011
1370.9889,1.8831979,1.89E-011
1374.4165,1.8831431,-2.43E-011
1377.8444,1.8830887,1.90E-011
1381.2723,1.8830347,-2.28E-013
1384.7004,1.8829812,-2.37E-013
1388.1289,1.8829281,-2.46E-011
1391.5574,1.8828754,4.96E-011
1394.9861,1.8828231,3.02E-011
1398.4149,1.8827713,-2.46E-011
1401.844,1.8827198,-2.52E-011
1405.2732,1.8826687,2.54E-016
1408.7028,1.882618,-5.67E-012
1412.1323,1.8825676,-2.54E-011
1415.5621,1.8825177,5.46E-012
1418.9921,1.8824681,2.54E-011
1422.4222,1.882419,2.59E-011
1425.8527,1.8823701,-3.65E-011
1429.2832,1.8823217,-2.59E-011
1432.7141,1.8822736,2.55E-011
1436.145,1.8822259,1.42E-011
1439.5762,1.8821785,-2.59E-011
1443.0076,1.8821315,-2.34E-013
1446.4391,1.8820848,2.60E-011
1449.8708,1.8820385,-5.85E-012
1453.3029,1.8819925,5.24E-011
1456.7351,1.8819468,-9.15E-015
1460.1675,1.8819015,-1.13E-011
1463.6001,1.8818566,-3.26E-011
1467.033,1.8818119,2.09E-011
1470.466,1.8817675,2.56E-013
1473.8992,1.8817235,-2.64E-011
1477.3328,1.8816799,2.48E-013
1480.7664,1.8816365,4.80E-011
1484.2003,1.8815933,-2.10E-011
1487.6345,1.8815507,-2.72E-011
1491.0688,1.8815082,5.50E-012
1494.5034,1.881466,2.72E-011
1497.9382,1.8814242,2.15E-011
